screen_name,text,date,neg,neu,pos,compound
POTUS,"Tonight, I called Governor Greg Abbott to discuss the ongoing situation in Texas and identify ways we can support the state’s recovery from this storm. I made clear to the Governor that I’ll work relentlessly to get his state what they need. https://t.co/UBwH8DMep2",2021-02-19 04:30:23,0.0,0.886,0.114,0.6486
POTUS,The truth is the last four years have exacerbated our already broken immigration system. The legislation I sent to Congress will bring about much-needed reform and restore humanity to our policies. I look forward to working with Congress to get it done. https://t.co/35U0J3NgQr,2021-02-19 02:35:00,0.065,0.84,0.095,0.1027
POTUS,"Wear a mask.
Socially distance.
Wash your hands.
 
Your actions matter. https://t.co/taGajV5D4P",2021-02-19 01:48:37,0.0,0.909,0.091,0.0258
POTUS,"When it comes to a COVID relief package, we have to go big. https://t.co/DJalq00JmF",2021-02-19 00:45:09,0.0,0.807,0.193,0.4767
POTUS,"Congratulations to NASA and everyone whose hard work made Perseverance’s historic landing possible. Today proved once again that with the power of science and American ingenuity, nothing is beyond the realm of possibility. https://t.co/NzSxW6nw4k",2021-02-18 22:54:59,0.038,0.858,0.105,0.5423
POTUS,Texas — Hundreds of warming centers are open across the state. Head to https://t.co/hPJawls8rQ to find the center nearest you or call 211 for additional assistance.,2021-02-18 18:40:00,0.0,0.94,0.06,0.1531
POTUS,"Jill and I are keeping Texas, Oklahoma, and other impacted states in our prayers. I’ve declared states of emergency, authorized FEMA to provide generators and supplies, and am ready to fulfill additional requests. Please heed the instructions of local officials and stay safe.",2021-02-18 17:38:35,0.051,0.742,0.207,0.7906
POTUS,"Today I announced our Administration will:

- Expand COVID-19 testing for schools and underserved communities
- Increase manufacturing of testing supplies
- Increase genome sequencing to track emerging strains

These steps will expand testing and help get the virus under control.",2021-02-18 03:00:00,0.045,0.713,0.242,0.8271
POTUS,"As I’ve said throughout my whole career: The middle class built this country, and labor built the middle class. This afternoon, I met with labor leaders to discuss the American Rescue Plan and how we’ll rebuild our infrastructure—creating good-paying, union jobs in the process. https://t.co/3dyv23GvLq",2021-02-18 02:12:01,0.0,0.93,0.07,0.5106
POTUS,"Today, I join Christians around the world in observing Ash Wednesday. As we enter the season of Lent, we know this moment of repentance, reflection, and renewal comes in the midst of a painful winter. Let us look with hope and anticipation toward Easter and brighter days ahead.",2021-02-18 01:21:29,0.053,0.782,0.165,0.6369
POTUS,"As I said at last night’s CNN Town Hall, I’ll always level with the American people and tell it to you straight. The road ahead will be tough and the crises we face are daunting, but I’m confident that if we come together and act as one nation, we will overcome them. https://t.co/ZqUpA1jray",2021-02-18 00:15:01,0.022,0.877,0.101,0.6705
POTUS,"I spoke today with @IsraeliPM Netanyahu and affirmed the United States’ steadfast commitment to our ally Israel’s security. Our teams are in constant touch to strengthen U.S.-Israel strategic cooperation on all regional security issues, including Iran.",2021-02-17 22:42:35,0.0,0.674,0.326,0.91
POTUS,"By the end of July, we will have enough doses to vaccinate every American. https://t.co/Wzmopn85RE",2021-02-17 20:34:29,0.0,1.0,0.0,0.0
POTUS,"The next four years, I want to make sure all the news is the American people. https://t.co/AINJ2ieDgL",2021-02-17 18:56:49,0.0,0.806,0.194,0.3818
POTUS,"I know COVID-19 can be scary, but I want every kid out there to know things are going to be okay. https://t.co/wZIxHeNAFa",2021-02-17 13:50:00,0.084,0.763,0.153,0.1779
POTUS,"RT @PressSec: I’ve gotten a ton of great questions on Twitter since our last video, so I took some time to answer a few more here. We cover…",2021-02-17 01:48:53,0.0,0.868,0.132,0.6249
POTUS,"Tonight, I’ll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT to watch. https://t.co/tMjDVuNwXM",2021-02-17 01:04:30,0.0,0.929,0.071,0.3182
POTUS,"I’m on my way to Wisconsin for tonight’s CNN Town Hall. See you soon, Milwaukee! https://t.co/7TwheCPqgy",2021-02-17 00:04:38,0.0,1.0,0.0,0.0
POTUS,"Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses — a 57% increase from when I took office.
- Doubling our direct shipments to local pharmacies.

We’re working hard to get America vaccinated quickly.",2021-02-16 22:30:53,0.032,0.915,0.053,0.2263
POTUS,"Mask up, America. https://t.co/hkVFUh8v6K",2021-02-16 17:58:27,0.0,1.0,0.0,0.0
BBCBREAKING,Duke and Duchess of Sussex tell Queen they will not be returning as working members of Royal Family https://t.co/L9Tz9Fsykp,2021-02-19 12:14:44,0.0,1.0,0.0,0.0
BBCBREAKING,UK Supreme Court rules Uber drivers should be classed as workers https://t.co/pRAd7aHbtF,2021-02-19 10:00:23,0.0,0.753,0.247,0.5574
BBCBREAKING,A young woman has become the first protester to die in the anti-coup rallies in Myanmar after being shot in the head https://t.co/IOTrrGb7SU,2021-02-19 06:06:33,0.151,0.849,0.0,-0.5994
BBCBREAKING,Touch down! Nasa's Perseverance rover successfully lands on Mars after seven-month voyage from Earth  https://t.co/ttF5ZlPyfa,2021-02-18 21:00:29,0.0,0.8,0.2,0.5411
BBCBREAKING,"Rush Limbaugh, the prominent conservative US radio personality and political commentator, has died aged 70
https://t.co/2Fx9V39HG7",2021-02-17 17:40:43,0.181,0.704,0.116,-0.3182
BBCBREAKING,"Prince Philip admitted to hospital on Tuesday evening after feeling unwell as ""precautionary measure"" https://t.co/Lsl5cssswM",2021-02-17 14:15:33,0.0,0.818,0.182,0.2263
BBCBREAKING,"""The world is going to know I'm not free""

Princess Latifa's shocking account of years of captivity in a ""jail villa"" metres from Dubai's beach has been revealed, in secret footage seen by BBC News 

https://t.co/niTLVACIWe",2021-02-16 22:08:55,0.137,0.863,0.0,-0.6599
BBCBREAKING,An extra 1.7 million adults in England to be asked to shield from coronavirus - and they will get priority access to vaccines https://t.co/KansQaMVNr,2021-02-16 14:18:07,0.0,1.0,0.0,0.0
BBCBREAKING,"In 2019, Latifa began to send secret messages to her friends, via a smuggled phone

She described being held, against her will

The UAE has previously said Latifa is ""safe in the loving care of her family""

#MissingPrincess

https://t.co/WCWIJKcqLd https://t.co/ngyi4nbnTO",2021-02-16 13:04:49,0.049,0.692,0.259,0.891
BBCBREAKING,"Princess Latifa, missing daughter of Dubai’s ruler, describes being drugged and held ""hostage"" on her father's orders, in secret footage seen by BBC News

#MissingPrincess

https://t.co/QVUrIURszw",2021-02-16 13:00:23,0.081,0.919,0.0,-0.296
BBCBREAKING,"The Duke and Duchess of Sussex are expecting their second child, a spokesperson for the couple has confirmed https://t.co/BkjM4ZZ1AH",2021-02-14 19:35:09,0.0,1.0,0.0,0.0
BBCBREAKING,"At least 15m people in UK have had their first Covid jab, Vaccine Minister Nadhim Zahawi says https://t.co/4OPhSnIl8h",2021-02-14 14:34:18,0.0,1.0,0.0,0.0
BBCBREAKING,"US Senate votes 43-57 to acquit Donald Trump of single charge of impeachment related to Capitol riot

https://t.co/W5Fd99Y26i https://t.co/aHUhSA1vwF",2021-02-13 20:58:46,0.161,0.759,0.08,-0.4215
BBCBREAKING,Donald Trump is cleared of inciting a mob to attack the US Capitol. What it means for him and the country https://t.co/sNehsQKH7h,2021-02-13 20:49:07,0.127,0.816,0.057,-0.4019
BBCBREAKING,"UK’s latest coronavirus ‘R’ number is estimated at between 0.7 and 0.9, suggesting the epidemic is shrinking

https://t.co/lFzCr226RH",2021-02-12 13:51:28,0.0,0.929,0.071,0.0772
BBCBREAKING,"The UK economy shrank by a record 9.9% last year - the largest annual fall on record, official figures show

https://t.co/VN2ysVjAz9",2021-02-12 07:20:58,0.0,1.0,0.0,0.0
BBCBREAKING,Duchess of Sussex Meghan Markle wins High Court privacy claim against Mail on Sunday newspaper over publication of letter to her father https://t.co/JpAA0hr3G4,2021-02-11 16:26:23,0.0,0.856,0.144,0.5719
BBCBREAKING,"Tocilizumab, a drug normally used to treat arthritis can be life-saver for sickest Covid patients, new research shows

https://t.co/GgKwTyVuVl",2021-02-11 15:07:43,0.0,0.87,0.13,0.4019
BBCBREAKING,"World Health Organization backs Oxford-AstraZeneca vaccine, even in countries with new variants of coronavirus https://t.co/x07QBEdNWY",2021-02-10 16:08:27,0.079,0.921,0.0,-0.0516
BBCBREAKING,"Pilot of helicopter which crashed killing basketball star Kobe Bryant, his daughter, and seven other people, broke flight rules, US investigators say https://t.co/DkavgCXsbh",2021-02-09 17:14:53,0.255,0.745,0.0,-0.802
BLKLIVESMATTER,So proud of our UK team. They just launched their new website!! https://t.co/EUAGTxPkTi,2021-02-18 15:14:18,0.0,0.668,0.332,0.668
BLKLIVESMATTER,"We've seen this story before, but that doesn't make it any less infuriating. Ending white supremacy means ENDING exactly these types of attacks on our communities. Our hearts go out to the people of Texas.
 @NYTimes https://t.co/lKUCnd9eV9",2021-02-18 05:15:36,0.166,0.684,0.15,-0.1927
BLKLIVESMATTER,"Today we recognize Dr. Huey Newton, who co-founded the Black Panther Party in 1966, alongside Bobby Seale. While incarcerated, Dr. Newton developed much of BPP’s ideological platform and was one of the primary creators of BPP’s community programs.
#BlackHistoryMatters",2021-02-17 19:27:17,0.0,0.934,0.066,0.4019
