customer_no,timestamp,location_t,location_t+1
1.0,2019-09-06 07:00:00,dairy,dairy
1.0,2019-09-06 07:01:00,dairy,dairy
1.0,2019-09-06 07:02:00,dairy,dairy
1.0,2019-09-06 07:03:00,dairy,spices
1.0,2019-09-06 07:04:00,spices,checkout
1.0,2019-09-06 07:05:00,checkout,checkout
2.0,2019-09-06 07:00:00,drinks,checkout
2.0,2019-09-06 07:01:00,checkout,checkout
3.0,2019-09-06 07:00:00,fruit,fruit
3.0,2019-09-06 07:01:00,fruit,fruit
3.0,2019-09-06 07:02:00,fruit,spices
3.0,2019-09-06 07:03:00,spices,dairy
3.0,2019-09-06 07:04:00,dairy,dairy
3.0,2019-09-06 07:05:00,dairy,dairy
3.0,2019-09-06 07:06:00,dairy,dairy
3.0,2019-09-06 07:07:00,dairy,dairy
3.0,2019-09-06 07:08:00,dairy,dairy
3.0,2019-09-06 07:09:00,dairy,dairy
3.0,2019-09-06 07:10:00,dairy,checkout
3.0,2019-09-06 07:11:00,checkout,checkout
4.0,2019-09-06 07:01:00,drinks,checkout
4.0,2019-09-06 07:02:00,checkout,checkout
5.0,2019-09-06 07:01:00,dairy,dairy
5.0,2019-09-06 07:02:00,dairy,dairy
5.0,2019-09-06 07:03:00,dairy,dairy
5.0,2019-09-06 07:04:00,dairy,dairy
5.0,2019-09-06 07:05:00,dairy,dairy
5.0,2019-09-06 07:06:00,dairy,spices
5.0,2019-09-06 07:07:00,spices,drinks
5.0,2019-09-06 07:08:00,drinks,drinks
5.0,2019-09-06 07:09:00,drinks,spices
5.0,2019-09-06 07:10:00,spices,drinks
5.0,2019-09-06 07:11:00,drinks,drinks
5.0,2019-09-06 07:12:00,drinks,drinks
5.0,2019-09-06 07:13:00,drinks,drinks
5.0,2019-09-06 07:14:00,drinks,checkout
5.0,2019-09-06 07:15:00,checkout,checkout
6.0,2019-09-06 07:02:00,spices,dairy
6.0,2019-09-06 07:03:00,dairy,dairy
6.0,2019-09-06 07:04:00,dairy,drinks
6.0,2019-09-06 07:05:00,drinks,drinks
6.0,2019-09-06 07:06:00,drinks,drinks
6.0,2019-09-06 07:07:00,drinks,spices
6.0,2019-09-06 07:08:00,spices,fruit
6.0,2019-09-06 07:09:00,fruit,checkout
6.0,2019-09-06 07:10:00,checkout,checkout
7.0,2019-09-06 07:02:00,dairy,dairy
7.0,2019-09-06 07:03:00,dairy,dairy
7.0,2019-09-06 07:04:00,dairy,checkout
7.0,2019-09-06 07:05:00,checkout,checkout
8.0,2019-09-06 07:03:00,fruit,checkout
8.0,2019-09-06 07:04:00,checkout,checkout
9.0,2019-09-06 07:06:00,fruit,fruit
9.0,2019-09-06 07:07:00,fruit,dairy
9.0,2019-09-06 07:08:00,dairy,checkout
9.0,2019-09-06 07:09:00,checkout,checkout
10.0,2019-09-06 07:06:00,fruit,fruit
10.0,2019-09-06 07:07:00,fruit,fruit
10.0,2019-09-06 07:08:00,fruit,fruit
10.0,2019-09-06 07:09:00,fruit,fruit
10.0,2019-09-06 07:10:00,fruit,checkout
10.0,2019-09-06 07:11:00,checkout,checkout
11.0,2019-09-06 07:06:00,fruit,fruit
11.0,2019-09-06 07:07:00,fruit,fruit
11.0,2019-09-06 07:08:00,fruit,fruit
11.0,2019-09-06 07:09:00,fruit,fruit
11.0,2019-09-06 07:10:00,fruit,fruit
11.0,2019-09-06 07:11:00,fruit,drinks
11.0,2019-09-06 07:12:00,drinks,drinks
11.0,2019-09-06 07:13:00,drinks,checkout
11.0,2019-09-06 07:14:00,checkout,checkout
12.0,2019-09-06 07:08:00,fruit,fruit
12.0,2019-09-06 07:09:00,fruit,checkout
12.0,2019-09-06 07:10:00,checkout,checkout
13.0,2019-09-06 07:08:00,dairy,drinks
13.0,2019-09-06 07:09:00,drinks,drinks
13.0,2019-09-06 07:10:00,drinks,checkout
13.0,2019-09-06 07:11:00,checkout,checkout
14.0,2019-09-06 07:08:00,spices,spices
14.0,2019-09-06 07:09:00,spices,fruit
14.0,2019-09-06 07:10:00,fruit,fruit
14.0,2019-09-06 07:11:00,fruit,drinks
14.0,2019-09-06 07:12:00,drinks,drinks
14.0,2019-09-06 07:13:00,drinks,checkout
14.0,2019-09-06 07:14:00,checkout,checkout
15.0,2019-09-06 07:09:00,spices,spices
15.0,2019-09-06 07:10:00,spices,spices
15.0,2019-09-06 07:11:00,spices,spices
15.0,2019-09-06 07:12:00,spices,checkout
15.0,2019-09-06 07:13:00,checkout,checkout
16.0,2019-09-06 07:09:00,fruit,fruit
16.0,2019-09-06 07:10:00,fruit,dairy
16.0,2019-09-06 07:11:00,dairy,dairy
16.0,2019-09-06 07:12:00,dairy,dairy
16.0,2019-09-06 07:13:00,dairy,dairy
16.0,2019-09-06 07:14:00,dairy,dairy
16.0,2019-09-06 07:15:00,dairy,spices
16.0,2019-09-06 07:16:00,spices,spices
16.0,2019-09-06 07:17:00,spices,fruit
16.0,2019-09-06 07:18:00,fruit,fruit
16.0,2019-09-06 07:19:00,fruit,checkout
16.0,2019-09-06 07:20:00,checkout,checkout
17.0,2019-09-06 07:09:00,spices,spices
17.0,2019-09-06 07:10:00,spices,drinks
17.0,2019-09-06 07:11:00,drinks,fruit
17.0,2019-09-06 07:12:00,fruit,dairy
17.0,2019-09-06 07:13:00,dairy,dairy
17.0,2019-09-06 07:14:00,dairy,dairy
17.0,2019-09-06 07:15:00,dairy,fruit
17.0,2019-09-06 07:16:00,fruit,fruit
17.0,2019-09-06 07:17:00,fruit,fruit
17.0,2019-09-06 07:18:00,fruit,checkout
17.0,2019-09-06 07:19:00,checkout,checkout
18.0,2019-09-06 07:11:00,fruit,fruit
18.0,2019-09-06 07:12:00,fruit,fruit
18.0,2019-09-06 07:13:00,fruit,fruit
18.0,2019-09-06 07:14:00,fruit,fruit
18.0,2019-09-06 07:15:00,fruit,fruit
18.0,2019-09-06 07:16:00,fruit,fruit
18.0,2019-09-06 07:17:00,fruit,checkout
18.0,2019-09-06 07:18:00,checkout,checkout
19.0,2019-09-06 07:11:00,spices,spices
19.0,2019-09-06 07:12:00,spices,fruit
19.0,2019-09-06 07:13:00,fruit,fruit
19.0,2019-09-06 07:14:00,fruit,fruit
19.0,2019-09-06 07:15:00,fruit,fruit
19.0,2019-09-06 07:16:00,fruit,checkout
19.0,2019-09-06 07:17:00,checkout,checkout
20.0,2019-09-06 07:12:00,fruit,fruit
20.0,2019-09-06 07:13:00,fruit,fruit
20.0,2019-09-06 07:14:00,fruit,fruit
20.0,2019-09-06 07:15:00,fruit,fruit
20.0,2019-09-06 07:16:00,fruit,checkout
20.0,2019-09-06 07:17:00,checkout,checkout
21.0,2019-09-06 07:12:00,dairy,dairy
21.0,2019-09-06 07:13:00,dairy,dairy
21.0,2019-09-06 07:14:00,dairy,dairy
21.0,2019-09-06 07:15:00,dairy,dairy
21.0,2019-09-06 07:16:00,dairy,dairy
21.0,2019-09-06 07:17:00,dairy,dairy
21.0,2019-09-06 07:18:00,dairy,dairy
21.0,2019-09-06 07:19:00,dairy,checkout
21.0,2019-09-06 07:20:00,checkout,checkout
22.0,2019-09-06 07:12:00,fruit,drinks
22.0,2019-09-06 07:13:00,drinks,checkout
22.0,2019-09-06 07:14:00,checkout,checkout
23.0,2019-09-06 07:18:00,dairy,dairy
23.0,2019-09-06 07:19:00,dairy,dairy
23.0,2019-09-06 07:20:00,dairy,dairy
23.0,2019-09-06 07:21:00,dairy,dairy
23.0,2019-09-06 07:22:00,dairy,dairy
23.0,2019-09-06 07:23:00,dairy,dairy
23.0,2019-09-06 07:24:00,dairy,dairy
23.0,2019-09-06 07:25:00,dairy,dairy
23.0,2019-09-06 07:26:00,dairy,dairy
23.0,2019-09-06 07:27:00,dairy,dairy
23.0,2019-09-06 07:28:00,dairy,dairy
23.0,2019-09-06 07:29:00,dairy,checkout
23.0,2019-09-06 07:30:00,checkout,checkout
24.0,2019-09-06 07:19:00,dairy,dairy
24.0,2019-09-06 07:20:00,dairy,dairy
24.0,2019-09-06 07:21:00,dairy,dairy
24.0,2019-09-06 07:22:00,dairy,dairy
24.0,2019-09-06 07:23:00,dairy,spices
24.0,2019-09-06 07:24:00,spices,spices
24.0,2019-09-06 07:25:00,spices,spices
24.0,2019-09-06 07:26:00,spices,drinks
24.0,2019-09-06 07:27:00,drinks,spices
24.0,2019-09-06 07:28:00,spices,drinks
24.0,2019-09-06 07:29:00,drinks,drinks
24.0,2019-09-06 07:30:00,drinks,checkout
24.0,2019-09-06 07:31:00,checkout,checkout
25.0,2019-09-06 07:19:00,dairy,fruit
25.0,2019-09-06 07:20:00,fruit,fruit
25.0,2019-09-06 07:21:00,fruit,fruit
25.0,2019-09-06 07:22:00,fruit,fruit
25.0,2019-09-06 07:23:00,fruit,dairy
25.0,2019-09-06 07:24:00,dairy,dairy
25.0,2019-09-06 07:25:00,dairy,dairy
25.0,2019-09-06 07:26:00,dairy,checkout
25.0,2019-09-06 07:27:00,checkout,checkout
26.0,2019-09-06 07:19:00,dairy,dairy
26.0,2019-09-06 07:20:00,dairy,dairy
26.0,2019-09-06 07:21:00,dairy,drinks
26.0,2019-09-06 07:22:00,drinks,drinks
26.0,2019-09-06 07:23:00,drinks,spices
26.0,2019-09-06 07:24:00,spices,spices
26.0,2019-09-06 07:25:00,spices,spices
26.0,2019-09-06 07:26:00,spices,spices
26.0,2019-09-06 07:27:00,spices,checkout
26.0,2019-09-06 07:28:00,checkout,checkout
27.0,2019-09-06 07:19:00,spices,spices
27.0,2019-09-06 07:20:00,spices,checkout
27.0,2019-09-06 07:21:00,checkout,checkout
28.0,2019-09-06 07:19:00,fruit,checkout
28.0,2019-09-06 07:20:00,checkout,checkout
29.0,2019-09-06 07:20:00,fruit,fruit
29.0,2019-09-06 07:21:00,fruit,fruit
29.0,2019-09-06 07:22:00,fruit,fruit
29.0,2019-09-06 07:23:00,fruit,dairy
29.0,2019-09-06 07:24:00,dairy,dairy
