customer_no,timestamp,location_t,location_t+1
1.0,2019-09-02 07:03:00,dairy,dairy
1.0,2019-09-02 07:04:00,dairy,checkout
1.0,2019-09-02 07:05:00,checkout,checkout
2.0,2019-09-02 07:03:00,dairy,dairy
2.0,2019-09-02 07:04:00,dairy,dairy
2.0,2019-09-02 07:05:00,dairy,checkout
2.0,2019-09-02 07:06:00,checkout,checkout
3.0,2019-09-02 07:04:00,dairy,dairy
3.0,2019-09-02 07:05:00,dairy,checkout
3.0,2019-09-02 07:06:00,checkout,checkout
4.0,2019-09-02 07:04:00,dairy,dairy
4.0,2019-09-02 07:05:00,dairy,dairy
4.0,2019-09-02 07:06:00,dairy,dairy
4.0,2019-09-02 07:07:00,dairy,checkout
4.0,2019-09-02 07:08:00,checkout,checkout
5.0,2019-09-02 07:04:00,spices,checkout
5.0,2019-09-02 07:05:00,checkout,checkout
6.0,2019-09-02 07:04:00,spices,dairy
6.0,2019-09-02 07:05:00,dairy,dairy
6.0,2019-09-02 07:06:00,dairy,dairy
6.0,2019-09-02 07:07:00,dairy,dairy
6.0,2019-09-02 07:08:00,dairy,dairy
6.0,2019-09-02 07:09:00,dairy,dairy
6.0,2019-09-02 07:10:00,dairy,dairy
6.0,2019-09-02 07:11:00,dairy,dairy
6.0,2019-09-02 07:12:00,dairy,dairy
6.0,2019-09-02 07:13:00,dairy,dairy
6.0,2019-09-02 07:14:00,dairy,dairy
6.0,2019-09-02 07:15:00,dairy,dairy
6.0,2019-09-02 07:16:00,dairy,spices
6.0,2019-09-02 07:17:00,spices,drinks
6.0,2019-09-02 07:18:00,drinks,drinks
6.0,2019-09-02 07:19:00,drinks,drinks
6.0,2019-09-02 07:20:00,drinks,drinks
6.0,2019-09-02 07:21:00,drinks,drinks
6.0,2019-09-02 07:22:00,drinks,drinks
6.0,2019-09-02 07:23:00,drinks,drinks
6.0,2019-09-02 07:24:00,drinks,spices
6.0,2019-09-02 07:25:00,spices,dairy
6.0,2019-09-02 07:26:00,dairy,spices
6.0,2019-09-02 07:27:00,spices,spices
6.0,2019-09-02 07:28:00,spices,checkout
6.0,2019-09-02 07:29:00,checkout,checkout
7.0,2019-09-02 07:04:00,spices,drinks
7.0,2019-09-02 07:05:00,drinks,drinks
7.0,2019-09-02 07:06:00,drinks,drinks
7.0,2019-09-02 07:07:00,drinks,drinks
7.0,2019-09-02 07:08:00,drinks,spices
7.0,2019-09-02 07:09:00,spices,spices
7.0,2019-09-02 07:10:00,spices,fruit
7.0,2019-09-02 07:11:00,fruit,fruit
7.0,2019-09-02 07:12:00,fruit,checkout
7.0,2019-09-02 07:13:00,checkout,checkout
8.0,2019-09-02 07:04:00,fruit,fruit
8.0,2019-09-02 07:05:00,fruit,fruit
8.0,2019-09-02 07:06:00,fruit,checkout
8.0,2019-09-02 07:07:00,checkout,checkout
9.0,2019-09-02 07:06:00,dairy,dairy
9.0,2019-09-02 07:07:00,dairy,dairy
9.0,2019-09-02 07:08:00,dairy,dairy
9.0,2019-09-02 07:09:00,dairy,dairy
9.0,2019-09-02 07:10:00,dairy,dairy
9.0,2019-09-02 07:11:00,dairy,fruit
9.0,2019-09-02 07:12:00,fruit,checkout
9.0,2019-09-02 07:13:00,checkout,checkout
10.0,2019-09-02 07:06:00,fruit,fruit
10.0,2019-09-02 07:07:00,fruit,checkout
10.0,2019-09-02 07:08:00,checkout,checkout
11.0,2019-09-02 07:06:00,drinks,drinks
11.0,2019-09-02 07:07:00,drinks,checkout
11.0,2019-09-02 07:08:00,checkout,checkout
12.0,2019-09-02 07:06:00,spices,drinks
