customer_no,timestamp,location_t,location_t+1
1.0,2019-09-05 07:00:00,drinks,drinks
1.0,2019-09-05 07:01:00,drinks,checkout
1.0,2019-09-05 07:02:00,checkout,checkout
2.0,2019-09-05 07:01:00,fruit,fruit
2.0,2019-09-05 07:02:00,fruit,fruit
2.0,2019-09-05 07:03:00,fruit,fruit
2.0,2019-09-05 07:04:00,fruit,checkout
2.0,2019-09-05 07:05:00,checkout,checkout
3.0,2019-09-05 07:01:00,dairy,dairy
3.0,2019-09-05 07:02:00,dairy,dairy
3.0,2019-09-05 07:03:00,dairy,dairy
3.0,2019-09-05 07:04:00,dairy,dairy
3.0,2019-09-05 07:05:00,dairy,dairy
3.0,2019-09-05 07:06:00,dairy,dairy
3.0,2019-09-05 07:07:00,dairy,dairy
3.0,2019-09-05 07:08:00,dairy,dairy
3.0,2019-09-05 07:09:00,dairy,dairy
3.0,2019-09-05 07:10:00,dairy,dairy
3.0,2019-09-05 07:11:00,dairy,spices
3.0,2019-09-05 07:12:00,spices,fruit
3.0,2019-09-05 07:13:00,fruit,drinks
3.0,2019-09-05 07:14:00,drinks,drinks
3.0,2019-09-05 07:15:00,drinks,fruit
3.0,2019-09-05 07:16:00,fruit,spices
3.0,2019-09-05 07:17:00,spices,spices
3.0,2019-09-05 07:18:00,spices,dairy
3.0,2019-09-05 07:19:00,dairy,dairy
3.0,2019-09-05 07:20:00,dairy,dairy
3.0,2019-09-05 07:21:00,dairy,dairy
3.0,2019-09-05 07:22:00,dairy,dairy
3.0,2019-09-05 07:23:00,dairy,spices
3.0,2019-09-05 07:24:00,spices,drinks
3.0,2019-09-05 07:25:00,drinks,checkout
3.0,2019-09-05 07:26:00,checkout,checkout
4.0,2019-09-05 07:01:00,dairy,checkout
4.0,2019-09-05 07:02:00,checkout,checkout
5.0,2019-09-05 07:03:00,dairy,dairy
5.0,2019-09-05 07:04:00,dairy,dairy
5.0,2019-09-05 07:05:00,dairy,drinks
5.0,2019-09-05 07:06:00,drinks,drinks
5.0,2019-09-05 07:07:00,drinks,fruit
5.0,2019-09-05 07:08:00,fruit,checkout
5.0,2019-09-05 07:09:00,checkout,checkout
6.0,2019-09-05 07:04:00,dairy,dairy
6.0,2019-09-05 07:05:00,dairy,dairy
6.0,2019-09-05 07:06:00,dairy,fruit
6.0,2019-09-05 07:07:00,fruit,drinks
6.0,2019-09-05 07:08:00,drinks,drinks
6.0,2019-09-05 07:09:00,drinks,drinks
6.0,2019-09-05 07:10:00,drinks,drinks
6.0,2019-09-05 07:11:00,drinks,drinks
6.0,2019-09-05 07:12:00,drinks,drinks
6.0,2019-09-05 07:13:00,drinks,drinks
6.0,2019-09-05 07:14:00,drinks,spices
6.0,2019-09-05 07:15:00,spices,fruit
6.0,2019-09-05 07:16:00,fruit,spices
6.0,2019-09-05 07:17:00,spices,dairy
6.0,2019-09-05 07:18:00,dairy,fruit
6.0,2019-09-05 07:19:00,fruit,spices
6.0,2019-09-05 07:20:00,spices,dairy
6.0,2019-09-05 07:21:00,dairy,dairy
6.0,2019-09-05 07:22:00,dairy,dairy
6.0,2019-09-05 07:23:00,dairy,dairy
6.0,2019-09-05 07:24:00,dairy,dairy
6.0,2019-09-05 07:25:00,dairy,checkout
6.0,2019-09-05 07:26:00,checkout,checkout
7.0,2019-09-05 07:04:00,fruit,checkout
7.0,2019-09-05 07:05:00,checkout,checkout
8.0,2019-09-05 07:07:00,fruit,fruit
8.0,2019-09-05 07:08:00,fruit,checkout
8.0,2019-09-05 07:09:00,checkout,checkout
9.0,2019-09-05 07:07:00,fruit,drinks
9.0,2019-09-05 07:08:00,drinks,checkout
9.0,2019-09-05 07:09:00,checkout,checkout
10.0,2019-09-05 07:07:00,spices,spices
10.0,2019-09-05 07:08:00,spices,checkout
10.0,2019-09-05 07:09:00,checkout,checkout
11.0,2019-09-05 07:08:00,spices,spices
11.0,2019-09-05 07:09:00,spices,drinks
11.0,2019-09-05 07:10:00,drinks,fruit
11.0,2019-09-05 07:11:00,fruit,fruit
11.0,2019-09-05 07:12:00,fruit,fruit
11.0,2019-09-05 07:13:00,fruit,fruit
11.0,2019-09-05 07:14:00,fruit,spices
11.0,2019-09-05 07:15:00,spices,spices
11.0,2019-09-05 07:16:00,spices,fruit
11.0,2019-09-05 07:17:00,fruit,fruit
11.0,2019-09-05 07:18:00,fruit,fruit
11.0,2019-09-05 07:19:00,fruit,fruit
11.0,2019-09-05 07:20:00,fruit,fruit
11.0,2019-09-05 07:21:00,fruit,fruit
11.0,2019-09-05 07:22:00,fruit,checkout
11.0,2019-09-05 07:23:00,checkout,checkout
12.0,2019-09-05 07:08:00,dairy,dairy
12.0,2019-09-05 07:09:00,dairy,fruit
12.0,2019-09-05 07:10:00,fruit,fruit
12.0,2019-09-05 07:11:00,fruit,fruit
12.0,2019-09-05 07:12:00,fruit,fruit
12.0,2019-09-05 07:13:00,fruit,dairy
12.0,2019-09-05 07:14:00,dairy,dairy
12.0,2019-09-05 07:15:00,dairy,dairy
12.0,2019-09-05 07:16:00,dairy,dairy
12.0,2019-09-05 07:17:00,dairy,dairy
12.0,2019-09-05 07:18:00,dairy,dairy
12.0,2019-09-05 07:19:00,dairy,dairy
12.0,2019-09-05 07:20:00,dairy,checkout
12.0,2019-09-05 07:21:00,checkout,checkout
13.0,2019-09-05 07:11:00,fruit,fruit
13.0,2019-09-05 07:12:00,fruit,drinks
13.0,2019-09-05 07:13:00,drinks,fruit
13.0,2019-09-05 07:14:00,fruit,fruit
13.0,2019-09-05 07:15:00,fruit,fruit
13.0,2019-09-05 07:16:00,fruit,fruit
13.0,2019-09-05 07:17:00,fruit,spices
13.0,2019-09-05 07:18:00,spices,dairy
13.0,2019-09-05 07:19:00,dairy,spices
13.0,2019-09-05 07:20:00,spices,checkout
13.0,2019-09-05 07:21:00,checkout,checkout
14.0,2019-09-05 07:12:00,dairy,dairy
14.0,2019-09-05 07:13:00,dairy,dairy
14.0,2019-09-05 07:14:00,dairy,checkout
14.0,2019-09-05 07:15:00,checkout,checkout
15.0,2019-09-05 07:12:00,fruit,fruit
