customer_no,timestamp,location_t,location_t+1
1.0,2019-09-03 07:02:00,fruit,fruit
1.0,2019-09-03 07:03:00,fruit,fruit
1.0,2019-09-03 07:04:00,fruit,drinks
1.0,2019-09-03 07:05:00,drinks,drinks
1.0,2019-09-03 07:06:00,drinks,drinks
1.0,2019-09-03 07:07:00,drinks,drinks
1.0,2019-09-03 07:08:00,drinks,drinks
1.0,2019-09-03 07:09:00,drinks,drinks
1.0,2019-09-03 07:10:00,drinks,drinks
1.0,2019-09-03 07:11:00,drinks,checkout
1.0,2019-09-03 07:12:00,checkout,checkout
2.0,2019-09-03 07:02:00,drinks,drinks
2.0,2019-09-03 07:03:00,drinks,drinks
2.0,2019-09-03 07:04:00,drinks,drinks
2.0,2019-09-03 07:05:00,drinks,drinks
2.0,2019-09-03 07:06:00,drinks,drinks
2.0,2019-09-03 07:07:00,drinks,drinks
2.0,2019-09-03 07:08:00,drinks,drinks
2.0,2019-09-03 07:09:00,drinks,drinks
2.0,2019-09-03 07:10:00,drinks,drinks
2.0,2019-09-03 07:11:00,drinks,drinks
2.0,2019-09-03 07:12:00,drinks,drinks
2.0,2019-09-03 07:13:00,drinks,fruit
2.0,2019-09-03 07:14:00,fruit,fruit
2.0,2019-09-03 07:15:00,fruit,fruit
2.0,2019-09-03 07:16:00,fruit,checkout
2.0,2019-09-03 07:17:00,checkout,checkout
3.0,2019-09-03 07:03:00,dairy,dairy
3.0,2019-09-03 07:04:00,dairy,dairy
3.0,2019-09-03 07:05:00,dairy,dairy
3.0,2019-09-03 07:06:00,dairy,dairy
3.0,2019-09-03 07:07:00,dairy,dairy
3.0,2019-09-03 07:08:00,dairy,dairy
3.0,2019-09-03 07:09:00,dairy,checkout
3.0,2019-09-03 07:10:00,checkout,checkout
4.0,2019-09-03 07:06:00,dairy,dairy
4.0,2019-09-03 07:07:00,dairy,spices
4.0,2019-09-03 07:08:00,spices,drinks
4.0,2019-09-03 07:09:00,drinks,drinks
4.0,2019-09-03 07:10:00,drinks,drinks
4.0,2019-09-03 07:11:00,drinks,checkout
4.0,2019-09-03 07:12:00,checkout,checkout
5.0,2019-09-03 07:06:00,dairy,dairy
5.0,2019-09-03 07:07:00,dairy,dairy
5.0,2019-09-03 07:08:00,dairy,checkout
5.0,2019-09-03 07:09:00,checkout,checkout
6.0,2019-09-03 07:07:00,dairy,dairy
6.0,2019-09-03 07:08:00,dairy,dairy
6.0,2019-09-03 07:09:00,dairy,dairy
6.0,2019-09-03 07:10:00,dairy,dairy
6.0,2019-09-03 07:11:00,dairy,dairy
6.0,2019-09-03 07:12:00,dairy,dairy
6.0,2019-09-03 07:13:00,dairy,dairy
6.0,2019-09-03 07:14:00,dairy,spices
6.0,2019-09-03 07:15:00,spices,dairy
6.0,2019-09-03 07:16:00,dairy,dairy
6.0,2019-09-03 07:17:00,dairy,dairy
6.0,2019-09-03 07:18:00,dairy,dairy
6.0,2019-09-03 07:19:00,dairy,dairy
6.0,2019-09-03 07:20:00,dairy,dairy
6.0,2019-09-03 07:21:00,dairy,dairy
6.0,2019-09-03 07:22:00,dairy,checkout
6.0,2019-09-03 07:23:00,checkout,checkout
7.0,2019-09-03 07:07:00,dairy,dairy
7.0,2019-09-03 07:08:00,dairy,dairy
