customer_no,timestamp,location_t,location_t+1
1.0,2019-09-04 07:00:00,fruit,fruit
1.0,2019-09-04 07:01:00,fruit,checkout
1.0,2019-09-04 07:02:00,checkout,checkout
2.0,2019-09-04 07:00:00,dairy,dairy
2.0,2019-09-04 07:01:00,dairy,dairy
2.0,2019-09-04 07:02:00,dairy,dairy
2.0,2019-09-04 07:03:00,dairy,dairy
2.0,2019-09-04 07:04:00,dairy,spices
2.0,2019-09-04 07:05:00,spices,checkout
2.0,2019-09-04 07:06:00,checkout,checkout
3.0,2019-09-04 07:00:00,fruit,spices
3.0,2019-09-04 07:01:00,spices,spices
3.0,2019-09-04 07:02:00,spices,drinks
3.0,2019-09-04 07:03:00,drinks,drinks
3.0,2019-09-04 07:04:00,drinks,drinks
3.0,2019-09-04 07:05:00,drinks,fruit
3.0,2019-09-04 07:06:00,fruit,fruit
3.0,2019-09-04 07:07:00,fruit,fruit
3.0,2019-09-04 07:08:00,fruit,fruit
3.0,2019-09-04 07:09:00,fruit,fruit
3.0,2019-09-04 07:10:00,fruit,checkout
3.0,2019-09-04 07:11:00,checkout,checkout
4.0,2019-09-04 07:00:00,fruit,fruit
4.0,2019-09-04 07:01:00,fruit,fruit
4.0,2019-09-04 07:02:00,fruit,checkout
4.0,2019-09-04 07:03:00,checkout,checkout
5.0,2019-09-04 07:00:00,dairy,checkout
5.0,2019-09-04 07:01:00,checkout,checkout
6.0,2019-09-04 07:00:00,drinks,drinks
6.0,2019-09-04 07:01:00,drinks,checkout
6.0,2019-09-04 07:02:00,checkout,checkout
7.0,2019-09-04 07:01:00,dairy,dairy
7.0,2019-09-04 07:02:00,dairy,dairy
7.0,2019-09-04 07:03:00,dairy,dairy
7.0,2019-09-04 07:04:00,dairy,dairy
7.0,2019-09-04 07:05:00,dairy,dairy
7.0,2019-09-04 07:06:00,dairy,dairy
7.0,2019-09-04 07:07:00,dairy,dairy
7.0,2019-09-04 07:08:00,dairy,dairy
7.0,2019-09-04 07:09:00,dairy,dairy
7.0,2019-09-04 07:10:00,dairy,spices
7.0,2019-09-04 07:11:00,spices,spices
7.0,2019-09-04 07:12:00,spices,spices
7.0,2019-09-04 07:13:00,spices,checkout
7.0,2019-09-04 07:14:00,checkout,checkout
8.0,2019-09-04 07:03:00,fruit,fruit
8.0,2019-09-04 07:04:00,fruit,checkout
8.0,2019-09-04 07:05:00,checkout,checkout
9.0,2019-09-04 07:03:00,spices,checkout
9.0,2019-09-04 07:04:00,checkout,checkout
10.0,2019-09-04 07:03:00,dairy,dairy
10.0,2019-09-04 07:04:00,dairy,dairy
10.0,2019-09-04 07:05:00,dairy,checkout
10.0,2019-09-04 07:06:00,checkout,checkout
11.0,2019-09-04 07:03:00,dairy,dairy
11.0,2019-09-04 07:04:00,dairy,dairy
11.0,2019-09-04 07:05:00,dairy,checkout
11.0,2019-09-04 07:06:00,checkout,checkout
12.0,2019-09-04 07:03:00,fruit,fruit
12.0,2019-09-04 07:04:00,fruit,fruit
12.0,2019-09-04 07:05:00,fruit,fruit
12.0,2019-09-04 07:06:00,fruit,fruit
12.0,2019-09-04 07:07:00,fruit,fruit
12.0,2019-09-04 07:08:00,fruit,checkout
12.0,2019-09-04 07:09:00,checkout,checkout
13.0,2019-09-04 07:03:00,dairy,dairy
13.0,2019-09-04 07:04:00,dairy,dairy
13.0,2019-09-04 07:05:00,dairy,dairy
13.0,2019-09-04 07:06:00,dairy,dairy
13.0,2019-09-04 07:07:00,dairy,checkout
13.0,2019-09-04 07:08:00,checkout,checkout
14.0,2019-09-04 07:03:00,drinks,drinks
14.0,2019-09-04 07:04:00,drinks,drinks
14.0,2019-09-04 07:05:00,drinks,checkout
14.0,2019-09-04 07:06:00,checkout,checkout
15.0,2019-09-04 07:04:00,dairy,dairy
15.0,2019-09-04 07:05:00,dairy,dairy
